,address,hind,üldpind,ehitusaasta,rõdu,seisukord,tubade_arv,broker,linnaosa,terrass,maaküte,autnoomne küte,gaasiküte,kombineeritud küte,kamin,õhksoojuspump,põrandaküte,tahkekütus,keskküte,ahjuküte,elektriküte,energy_class_a,energy_class_b,energy_class_c,energy_class_d,energy_class_e,energy_class_f,energy_class_g,korrus,saun,bassein
535,Järveotsa tee 45,78000,65.8,1977,1,B,3,Arcus Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
551,Õismäe tee 79,55900,33.0,1976,0,C,1,Arcus Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
553,Õismäe tee 140,97000,69.5,1976,1,B,3,Arcus Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0
590,Oja tn 85,121000,69.2,2004,0,B,3,"1Partner Kinnisvara,1Partner Kinnisvara",Haabersti,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
603,Oja tn 61,139000,81.2,1993,1,B,3,Telefon 1: ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
614,Astangu tn 50,113000,66.7,2008,1,B,2,Artal Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
618,Vana-Rannamõisa tee 1,112000,59.7,2013,1,B,2,Kinnisvarabüroo Uus Maa OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
626,Õismäe tee 98,75000,49.5,1993,1,B,2,Skanton Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
636,Järveotsa tee 47,53500,33.0,1993,1,C,1,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0
678,Astangu tn 70,52900,31.4,1993,1,B,1,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
706,Õismäe tee 181,99000,56.1,2008,1,A,2,Artal Kinnisvara OÜ,Haabersti,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
728,Õismäe tee 13,87000,65.7,1983,1,B,3,Care Estate OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
805,Õismäe tee 125,115000,66.5,1976,1,B,3,City Property OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
869,Jalami tn 1,168900,87.8,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0
870,Jalami tn 1,144900,79.5,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0
871,Jalami tn 1,99900,55.0,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0
872,Astangu 20,146900,79.9,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
873,Astangu 18,167900,102.8,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
874,Astangu 50,92500,61.2,2008,1,C,3,RE Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
898,Jalami tn 1,137900,77.3,2019,1,A,3,"Endover KVB OÜ,Endover KVB OÜ",Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0
900,Jalami tn 1,158900,87.9,2019,0,A,4,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
980,Järveotsa tee 13,80000,49.4,1977,1,B,2,"Arco Vara Kinnisvarabüroo AS | Tallinn,Arco Vara Kinnisvarabüroo AS",Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
1011,Astangu 20,137900,71.7,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
1134,Kakumäe tee 94,148000,58.9,2016,1,A,2,YIT Eesti AS,Haabersti,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1468,Õismäe tee 181,106000,55.3,2008,0,A,2,LVM Kinnisvara Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
1820,Astangu 18,133900,69.0,2019,0,A,3,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1821,Astangu 20,106900,54.3,2019,0,A,2,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1822,Astangu 20,122900,65.5,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1823,Jalami tn 1,98900,52.2,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
1824,Astangu 20,141900,71.8,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0
1825,Astangu 20,94900,49.5,2019,0,A,2,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1826,Astangu 20,96900,52.7,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0
1827,Jalami tn 1,240000,141.5,2019,1,A,5,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,0
1829,Jalami tn 1,105900,58.2,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
1830,Astangu 20,89900,50.8,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1832,Jalami tn 1,129900,71.4,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1833,Jalami tn 1,113900,64.9,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
1862,Taludevahe 116,119900,74.0,2008,0,C,3,Domus Kinnisvara Vahendus OÜ Tallinn,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
1899,Õismäe tee 126,79900,49.4,1976,1,B,2,1Partner Kinnisvara,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0
2050,Taludevahe 65,145000,80.8,2017,1,A,3,Kinnisvarabüroo Uus Maa OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
2057,Järveotsa tee 2,112000,77.8,1982,1,B,3,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0
2154,Õismäe tee 31,56500,32.9,1975,0,B,1,RE Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
2257,Veerise tn 8,115000,68.3,2008,0,B,3,Kinnisvarabüroo Uus Maa OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2315,Paldiski mnt 183,99900,78.5,1976,1,B,4,Marmel Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0
2451,Õismäe tee 72,56900,33.0,1975,1,B,1,ParimKinnisvara,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0
2494,Õismäe tee 86,58500,32.9,1991,1,B,1,Romenal OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0
2538,Õismäe tee 72,57000,32.8,1975,1,B,1,Eraarendus Grupp OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0
2703,Jalami tn 1,240000,141.5,2019,1,A,5,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,0
2823,Õismäe tee 83,75000,52.6,1975,1,B,2,Servin Invest OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0
2933,Jalami tn 1,168900,88.5,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0
2952,Astangu 18,92900,51.5,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
3308,Kärneri tn 1,229900,100.0,2007,1,B,4,Domina Kinnisvara OÜ,Haabersti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0
3487,Astangu 20,96900,52.7,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0
3897,Lahepea 9,210000,85.9,2018,1,A,4,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
3898,Lahepea 9,220900,85.9,2018,1,A,4,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
3899,Lahepea 9,188100,71.0,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
3900,Lahepea 9,195400,81.6,2018,0,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
3902,Lahepea 9,215700,85.9,2018,1,A,4,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
3903,Lahepea 9,201100,81.6,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
3904,Lahepea tn 9,140800,51.8,2018,1,A,2,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
3906,Lahepea 9,188100,83.2,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
3908,Lahepea 9,194900,71.0,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
3965,Järveotsa tee 7,110000,68.4,1977,1,B,3,1Partner Kinnisvara,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
4143,Astangu 20,106900,54.3,2019,0,A,2,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
4342,Vabaõhumuuseumi tee 65,225000,104.6,2014,0,B,4,LAAM Kinnisvara OÜ,Haabersti,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0
4518,Mirta tn 18,73500,34.7,2008,1,B,1,Marmel Kinnisvara OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
4670,Vabaõhumuuseumi tee 1,471000,145.8,2017,1,A,4,1Partner Kinnisvara,Haabersti,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,7,1,0
5227,Astangu tn 48,69500,47.3,1987,1,B,2,Nova Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0
5983,Astangu tn 48,69900,47.3,1987,1,B,2,RE Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
6520,Vabaõhumuuseumi tee 1,174600,52.1,2017,0,A,2,1Partner Kinnisvara,Haabersti,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0
6542,Vanakuu tn 13,130990,67.6,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
6543,Vanakuu tn 13,125990,66.8,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6545,Vanakuu tn 13,99990,46.5,1993,0,A,2,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
6546,Vanakuu tn 11,130990,68.0,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
6547,Vanakuu tn 13,130990,67.3,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
6548,Vanakuu tn 13,99990,46.6,1993,0,A,2,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
6550,Vanakuu tn 11,130990,67.3,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
6553,Vanakuu tn 11,130990,68.1,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
6554,Vanakuu tn 11,130990,68.4,1993,0,A,3,Bonava Eesti OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
6725,Rehe põik 3,187900,94.4,2018,1,A,4,Kaamos Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
6810,Astangu 20,89900,50.8,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
6811,Astangu 20,94900,49.5,2019,0,A,2,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7156,Lahepea 9,194900,75.1,2018,0,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7159,Lahepea 9,193300,83.2,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
7164,Lahepea 9,182900,77.9,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
7165,Lahepea 9,193300,77.9,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
7169,Lahepea 9,205800,75.5,2018,0,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7170,Lahepea tn 9,231800,96.3,2018,1,A,4,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
7172,Lahepea 9,193300,81.6,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
7173,Lahepea tn 9,101300,34.3,2018,1,A,1,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
7174,Lahepea 9,188100,71.3,2018,0,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
7399,Taludevahe tn 112,149990,77.1,2008,0,B,3,LAAM Kinnisvara OÜ,Haabersti,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0
7506,Jalami tn 1,98900,52.2,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
7507,Jalami tn 1,113900,64.9,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
7610,Lahepea 9,144500,65.5,2018,1,A,3,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
7664,Lahepea 9,147000,56.4,2018,1,A,2,Arco Vara Kinnisvarabüroo AS | Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
7747,Astangu 20,122900,65.5,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7748,Jalami tn 1,167900,93.6,2019,0,A,4,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0
7749,Astangu 18,133900,69.0,2019,0,A,3,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7751,Jalami tn 1,182900,112.0,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0
7752,Astangu 20,141900,71.8,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0
7753,Astangu 20,161900,94.3,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0
7756,Jalami tn 1,129900,71.4,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7762,Rehe põik 3,187900,94.4,2018,1,A,4,Kaamos Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
7897,Jalami tn 1,105900,58.2,2019,1,A,2,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
7940,Järveotsa tee 27,52900,32.8,1977,1,B,1,Rosenhaus OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
7941,Jalami tn 1,182900,118.6,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0
7962,Astangu 20,122900,64.4,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8182,Jalami tn 1,178900,120.5,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0
8309,Astangu tn 52,89000,62.4,1990,1,B,3,Eco Advice OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0
8340,Õismäe tee 30,93000,65.8,1970,1,B,3,"Marmel Kinnisvara OÜ,Marmel Kinnisvara OÜ",Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0
8348,Päevalille tn 9,98000,52.4,1982,1,B,2,LVM Kinnisvara Tallinn,Haabersti,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
8566,Õismäe tee 72,87900,66.0,1975,0,B,3,GloReal KINNISVARA,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
8576,Õismäe tee 98,65000,50.0,1993,1,B,2,Kangro Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0
8775,Pirni 6,78000,48.3,1979,0,B,2,LVM Kinnisvara Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8886,Jalami tn 1,182900,112.0,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0
8887,Õismäe tee 150,85100,66.1,1977,1,B,3,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0
8890,Astangu 20,161900,94.3,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0
8891,Jalami tn 1,167900,93.6,2019,0,A,4,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0
8892,Jalami tn 1,182900,118.6,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0
8893,Astangu 20,122900,64.4,2019,1,A,3,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9060,Vabaõhumuuseumi 4,239000,101.3,2003,0,B,3,Baltic Sotheby's International Realty - Estonia,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
9092,Õismäe tee 125,115000,66.5,1976,1,B,3,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
9177,Kärneri tn 1,120000,56.7,2007,0,A,2,AHAUS Kinnisvara OÜ,Haabersti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,1,0
9393,Õismäe tee 187,107000,66.5,1978,1,B,3,City Property OÜ,Haabersti,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
9423,Järveotsa tee 2,79990,53.8,1982,1,B,2,Ruutmeetrid Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,0,0
9477,Õismäe tee 187,107000,71.2,1978,1,B,3,RE Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0
9528,Astangu 18,143900,69.0,2019,0,A,3,Endover KVB OÜ,Haabersti,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
9552,Õismäe tee 103,85000,52.2,1977,1,B,2,City Property OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0
9587,Õismäe tee 31,55000,32.9,1975,0,B,1,Artal Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0
9752,Jalami tn 1,159900,90.7,2019,1,A,4,Endover KVB OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0
9827,Õismäe tee 99,59500,32.9,1978,1,B,1,City Property OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
9896,Õismäe tee 1,88000,66.3,1993,1,B,4,Raid & Ko OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0
9978,Astangu tn 50,112999,67.4,2008,1,B,2,Nova Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
9985,Õismäe tee 115,89900,64.5,1993,1,B,3,Prisma Varahindajad OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0
9993,Kärneri 1,156500,76.4,2007,0,A,3,Skanton Kinnisvara OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0
10003,Oja tn 73,91000,46.2,2002,0,B,2,Arcus Kinnisvara OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
10020,Taludevahe 65,132500,64.6,2017,1,A,2,Kinnisvarabüroo Uus Maa OÜ,Haabersti,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
10049,Õismäe tee 131,57900,33.0,1976,0,B,1,Alfil KV OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0
10137,Õismäe tee 68,112000,65.5,1982,1,B,3,LVM Kinnisvara Tallinn,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10161,Järveotsa tee 2,149990,110.8,1982,1,B,4,Skanton Kinnisvara OÜ,Haabersti,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
10163,Õismäe tee 15,51000,33.0,1993,0,B,1,Telefon 1: ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0
10231,Paldiski mnt 75,37000,12.0,1966,0,B,1,Eraarendus Grupp OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
10238,Järveotsa tee 37,54900,32.9,1978,0,C,1,Pindi Kinnisvara,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
10258,Õismäe tee 53,74900,52.4,1974,1,B,2,RE/MAX,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
10307,Õismäe tee 12,85000,65.7,1975,1,B,3,Domare Kinnisvara OÜ,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0
10376,Õismäe tee 29,62000,33.1,1974,0,B,1,RE Kinnisvara AS,Haabersti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0
10383,Taludevahe tn 114,129000,72.5,2008,1,B,3,Treasure Capital OÜ,Haabersti,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
